EmployeeID,EmployeeName,FirstName,LastName,PayRate,HoursWorked,Fico,Exemptions,HireDate,Gender,DateEntered,IsPasswordReset,Password
5001,Bennett Dawson,Bennett ,Dawson,11.9400,57.7600,30.3100,3,12-14-2007,M,12-03-2009,1,o04ru2ukSW
5003,Vicky Schneider,Vicky ,Schneider,17.7900,32.8100,20.2900,0,03-01-2006,F,12-03-2009,1,LxI1iDn2ax
5004,Ricky Howe,Ricky ,Howe,13.0200,42.8000,46.4600,3,06-12-2003,M,12-03-2009,1,Dzvgr4Ibui
5006,Kareem Maddox,Kareem ,Maddox,25.6800,57.1500,36.4600,2,04-01-2000,M,12-03-2009,1,P8wXBnv2wR
5007,Cleveland Mercer,Cleveland ,Mercer,14.8300,33.1700,42.5600,1,07-25-2009,M,12-03-2009,0,t9u69vq4yJ
5008,Martha Leonard,Martha ,Leonard,12.0300,20.8700,18.7500,1,11-08-2006,F,12-03-2009,1,HELdkThL9w
5009,Maricela  Guerra,Maricela ,Guerra,15.5500,36.1900,40.3300,1,09-15-2005,?,12-01-2014,0,0
5010,Catalina Cooper,Catalina ,Cooper,24.9300,33.8800,11.9400,2,09-12-2004,F,12-03-2009,1,WdJF6wf6Cf
5012,Darrel Proctor,Darrel ,Proctor,11.3000,47.0600,32.3200,1,07-18-2006,M,12-03-2009,1,8B78exrgdQ
5013,Melanie Vaughn,Melanie ,Vaughn,18.6500,53.2900,44.5600,3,08-16-2004,F,12-03-2009,1,jFwdKKQPjZ
5014,Kevin Andrade,Kevin ,Andrade,26.3500,33.0400,21.3900,2,02-16-2005,M,12-03-2009,1,FvrGSGceYl
5015,Jimmie Pope,Jimmie ,Pope,14.8800,36.6300,49.9800,3,10-25-2009,F,12-03-2009,1,iDBIdtKm3h
5016,Brooke Campos,Brooke ,Campos,15.4900,47.3500,6.7200,0,11-23-2008,F,12-03-2009,1,2RQ25sPoNh
5017,June Acosta,June ,Acosta,19.2400,40.8400,27.4600,1,10-03-2008,F,12-03-2009,1,eHxr9gXMkc
5018,Eddie Hunter,Eddie ,Hunter,16.6200,26.6400,2.3700,3,07-10-2006,M,12-03-2009,1,QLjq9VaBy6
5019,Galen Franco,Galen ,Franco,29.5200,23.0200,40.0000,4,09-10-2001,M,12-03-2009,1,6PXlKnZY11
5020,Margret Castillo,Margret ,Castillo,22.4000,53.7900,3.9700,0,10-27-2000,F,12-03-2009,1,oHicMRQIxh
5021,Kristie Ali,Kristie ,Ali,14.8800,19.3700,22.6600,1,08-26-2000,F,12-03-2009,0,HG4YF5nwqQ
5022,Marlene Mckinney,Marlene ,Mckinney,14.3700,28.6800,18.9400,2,01-09-2005,F,12-03-2009,1,JyOR8ZX6wD
5023,Gracie Barrett,Gracie ,Barrett,19.8300,43.0100,25.7600,1,05-23-2007,F,12-03-2009,0,dNITUpSv7J
5024,Estela Ewing,Estela ,Ewing,12.4000,19.4900,38.6000,4,01-16-2001,F,12-03-2009,1,VtzYHH4Tel
5025,Martina Gould,Martina ,Gould,19.8500,46.3200,19.6900,2,12-02-2008,F,12-03-2009,1,w7Xvec96C5
